season,match_name,h_odd,d_odd,a_odd,home_team,away_team,home_score,away_score,winner
2004,Liverpool vs Middlesbrough,1.7,3.39,4.8,Liverpool,Middlesbrough,1,1,DRAW
2004,Manchester City vs Portsmouth,1.76,3.33,4.48,Manchester City,Portsmouth,2,0,HOME_TEAM
2004,Newcastle vs Crystal Palace,1.84,3.31,4.01,Newcastle,Crystal Palace,0,0,DRAW
2004,Southampton vs Norwich,2.02,3.29,3.39,Southampton,Norwich,4,3,HOME_TEAM
2004,Newcastle vs Middlesbrough,2.14,3.2,3.19,Newcastle,Middlesbrough,0,0,DRAW
2004,West Brom vs Blackburn,2.04,3.23,3.42,West Brom,Blackburn,1,1,DRAW
2004,Arsenal vs Tottenham,1.47,3.71,7.03,Arsenal,Tottenham,1,0,HOME_TEAM
2004,Manchester Utd vs Newcastle,1.34,4.33,8.71,Manchester Utd,Newcastle,2,1,HOME_TEAM
2004,Portsmouth vs Southampton,2.22,3.18,3.08,Portsmouth,Southampton,4,1,HOME_TEAM
2004,Aston Villa vs Bolton,2.31,3.18,2.89,Aston Villa,Bolton,1,1,DRAW
2004,Blackburn vs Manchester City,2.27,3.18,2.98,Blackburn,Manchester City,0,0,DRAW
2004,Crystal Palace vs Liverpool,3.68,3.35,1.92,Crystal Palace,Liverpool,1,0,HOME_TEAM
2004,Middlesbrough vs West Brom,1.91,3.27,3.85,Middlesbrough,West Brom,4,0,HOME_TEAM
2004,Norwich vs Charlton,2.14,3.31,3.11,Norwich,Charlton,1,0,HOME_TEAM
2004,Chelsea vs Fulham,1.29,4.63,9.63,Chelsea,Fulham,3,1,HOME_TEAM
2004,Everton vs Birmingham,1.65,3.37,5.28,Everton,Birmingham,1,1,DRAW
2004,Blackburn vs Crystal Palace,1.87,3.29,3.95,Blackburn,Crystal Palace,1,0,HOME_TEAM
2004,Chelsea vs Arsenal,2.02,3.16,3.54,Chelsea,Arsenal,0,0,DRAW
2004,Everton vs Manchester Utd,4.58,3.29,1.76,Everton,Manchester Utd,1,0,HOME_TEAM
2004,Manchester City vs Birmingham,1.96,3.23,3.69,Manchester City,Birmingham,3,0,HOME_TEAM
2004,Tottenham vs West Brom,1.68,3.4,4.96,Tottenham,West Brom,1,1,DRAW
2004,Aston Villa vs Charlton,1.88,3.25,3.96,Aston Villa,Charlton,0,0,DRAW
2004,Norwich vs Newcastle,2.33,3.25,2.84,Norwich,Newcastle,2,1,HOME_TEAM
2004,Portsmouth vs Liverpool,3.38,3.22,2.06,Portsmouth,Liverpool,1,2,AWAY_TEAM
2004,Bolton vs Southampton,1.6,3.5,5.4,Bolton,Southampton,1,1,DRAW
2004,Middlesbrough vs Fulham,1.81,3.25,4.32,Middlesbrough,Fulham,1,1,DRAW
2004,Birmingham vs Portsmouth,1.85,3.25,4.11,Birmingham,Portsmouth,0,0,DRAW
2004,Charlton vs Bolton,2.54,3.16,2.59,Charlton,Bolton,1,2,AWAY_TEAM
2004,Crystal Palace vs Norwich,1.99,3.22,3.6,Crystal Palace,Norwich,3,3,DRAW
2004,Fulham vs Manchester City,2.36,3.17,2.83,Fulham,Manchester City,1,1,DRAW
2004,Liverpool vs Tottenham,1.74,3.43,4.58,Liverpool,Tottenham,2,2,DRAW
2004,Southampton vs Aston Villa,2.08,3.21,3.33,Southampton,Aston Villa,2,3,AWAY_TEAM
2004,Tottenham vs Newcastle,1.97,3.21,3.68,Tottenham,Newcastle,1,0,HOME_TEAM
2004,Everton vs Crystal Palace,1.65,3.39,5.26,Everton,Crystal Palace,4,0,HOME_TEAM
2004,Aston Villa vs West Brom,1.88,3.25,4.04,Aston Villa,West Brom,1,1,DRAW
2004,Norwich vs Manchester Utd,8.39,4.24,1.35,Norwich,Manchester Utd,2,0,HOME_TEAM
2004,Blackburn vs Southampton,2.04,3.14,3.57,Blackburn,Southampton,3,0,HOME_TEAM
2004,Bolton vs Fulham,1.72,3.35,4.8,Bolton,Fulham,3,1,HOME_TEAM
2004,Chelsea vs Birmingham,1.28,4.75,9.86,Chelsea,Birmingham,1,1,DRAW
2004,Manchester City vs Liverpool,2.75,3.14,2.44,Manchester City,Liverpool,1,0,HOME_TEAM
2004,Middlesbrough vs Arsenal,4.84,3.35,1.7,Middlesbrough,Arsenal,0,1,AWAY_TEAM
2004,Portsmouth vs Charlton,2.23,3.17,3.08,Portsmouth,Charlton,4,2,HOME_TEAM
2004,West Brom vs Everton,2.67,3.17,2.48,West Brom,Everton,1,0,HOME_TEAM
2004,Fulham vs Portsmouth,2.06,3.17,3.46,Fulham,Portsmouth,3,1,HOME_TEAM
2004,Southampton vs Chelsea,6.03,3.49,1.56,Southampton,Chelsea,1,3,AWAY_TEAM
2004,Arsenal vs Norwich,1.18,5.73,9.99,Arsenal,Norwich,4,1,HOME_TEAM
2004,Birmingham vs Tottenham,2.29,3.14,2.98,Birmingham,Tottenham,1,1,DRAW
2004,Crystal Palace vs Middlesbrough,2.4,3.17,2.77,Crystal Palace,Middlesbrough,0,1,AWAY_TEAM
2004,Liverpool vs Bolton,1.84,3.2,4.26,Liverpool,Bolton,1,0,HOME_TEAM
2004,Manchester Utd vs Blackburn,1.27,4.83,9.74,Manchester Utd,Blackburn,0,0,DRAW
2004,Newcastle vs Aston Villa,1.65,3.4,5.36,Newcastle,Aston Villa,0,3,AWAY_TEAM
2004,Charlton vs Manchester City,2.12,3.17,3.29,Charlton,Manchester City,2,2,DRAW
2004,Liverpool vs Everton,1.82,3.16,4.43,Liverpool,Everton,2,1,HOME_TEAM
2004,Middlesbrough vs Southampton,2.04,3.18,3.47,Middlesbrough,Southampton,1,3,AWAY_TEAM
2004,Birmingham vs Aston Villa,2.29,3.02,3.06,Birmingham,Aston Villa,2,0,HOME_TEAM
2004,Bolton vs Norwich,1.55,3.52,6.05,Bolton,Norwich,1,0,HOME_TEAM
2004,Charlton vs West Brom,1.68,3.38,5.03,Charlton,West Brom,1,4,AWAY_TEAM
2004,Chelsea vs Crystal Palace,1.19,5.65,9.99,Chelsea,Crystal Palace,4,1,HOME_TEAM
2004,Manchester Utd vs Fulham,1.24,4.97,9.99,Manchester Utd,Fulham,1,0,HOME_TEAM
2004,Portsmouth vs Newcastle,2.74,3.17,2.44,Portsmouth,Newcastle,1,1,DRAW
2004,Tottenham vs Manchester City,1.82,3.23,4.25,Tottenham,Manchester City,2,1,HOME_TEAM
2004,Blackburn vs Arsenal,4.23,3.29,1.82,Blackburn,Arsenal,0,1,AWAY_TEAM
2004,Charlton vs Tottenham,2.39,3.18,2.77,Charlton,Tottenham,2,0,HOME_TEAM
2004,Liverpool vs Blackburn,1.53,3.52,6.33,Liverpool,Blackburn,0,0,DRAW
2004,Chelsea vs West Brom,1.15,6.14,9.99,Chelsea,West Brom,1,0,HOME_TEAM
2004,Manchester City vs Bolton,2.35,3.15,2.87,Manchester City,Bolton,0,1,AWAY_TEAM
2004,Everton vs Blackburn,1.76,3.31,4.63,Everton,Blackburn,0,1,AWAY_TEAM
2004,West Brom vs Birmingham,2.67,3.11,2.54,West Brom,Birmingham,2,0,HOME_TEAM
2004,Norwich vs Chelsea,7.95,4.05,1.39,Norwich,Chelsea,1,3,AWAY_TEAM
2004,Newcastle vs Liverpool,2.37,3.16,2.86,Newcastle,Liverpool,1,0,HOME_TEAM
2004,Southampton vs Tottenham,2.47,3.17,2.74,Southampton,Tottenham,1,0,HOME_TEAM
2004,Arsenal vs Portsmouth,1.34,4.34,8.94,Arsenal,Portsmouth,3,0,HOME_TEAM
2004,Crystal Palace vs Manchester Utd,7.24,3.83,1.45,Crystal Palace,Manchester Utd,0,0,DRAW
2004,Fulham vs Charlton,2.25,3.19,3.02,Fulham,Charlton,0,0,DRAW
2004,Aston Villa vs Middlesbrough,2.27,3.19,3.0,Aston Villa,Middlesbrough,2,0,HOME_TEAM
2004,Norwich vs Manchester City,2.66,3.11,2.62,Norwich,Manchester City,2,3,AWAY_TEAM
2004,Middlesbrough vs Charlton,1.91,3.21,3.96,Middlesbrough,Charlton,2,2,DRAW
2004,Newcastle vs Bolton,1.91,3.25,3.86,Newcastle,Bolton,2,1,HOME_TEAM
2004,Manchester Utd vs Portsmouth,1.21,5.36,9.99,Manchester Utd,Portsmouth,2,1,HOME_TEAM
2004,Aston Villa vs Everton,2.16,3.18,3.22,Aston Villa,Everton,1,3,AWAY_TEAM
2004,Crystal Palace vs Birmingham,2.58,3.16,2.62,Crystal Palace,Birmingham,2,0,HOME_TEAM
2004,Tottenham vs Fulham,1.84,3.24,4.25,Tottenham,Fulham,2,0,HOME_TEAM
2004,Southampton vs Arsenal,5.61,3.54,1.59,Southampton,Arsenal,1,1,DRAW
2004,West Brom vs Southampton,2.31,3.17,2.95,West Brom,Southampton,0,0,DRAW
2004,Arsenal vs Crystal Palace,1.2,5.42,9.99,Arsenal,Crystal Palace,5,1,HOME_TEAM
2004,Manchester City vs Manchester Utd,4.59,3.31,1.76,Manchester City,Manchester Utd,0,2,AWAY_TEAM
2004,Bolton vs Middlesbrough,2.04,3.2,3.5,Bolton,Middlesbrough,0,0,DRAW
2004,Birmingham vs Liverpool,3.14,3.2,2.19,Birmingham,Liverpool,2,0,HOME_TEAM
2004,Blackburn vs Norwich,1.74,3.29,4.75,Blackburn,Norwich,3,0,HOME_TEAM
2004,Portsmouth vs Aston Villa,2.27,3.18,3.0,Portsmouth,Aston Villa,1,2,AWAY_TEAM
2004,Everton vs Chelsea,4.37,3.25,1.81,Everton,Chelsea,0,1,AWAY_TEAM
2004,Chelsea vs Manchester City,1.25,5.21,9.66,Chelsea,Manchester City,0,0,DRAW
2004,Southampton vs Everton,2.52,3.17,2.65,Southampton,Everton,2,2,DRAW
2004,Aston Villa vs Arsenal,4.05,3.35,1.85,Aston Villa,Arsenal,1,3,AWAY_TEAM
2004,Liverpool vs Fulham,1.45,3.84,7.52,Liverpool,Fulham,3,1,HOME_TEAM
2004,Manchester Utd vs Birmingham,1.25,5.13,9.77,Manchester Utd,Birmingham,2,0,HOME_TEAM
2004,Middlesbrough vs Blackburn,2.0,3.11,3.72,Middlesbrough,Blackburn,1,0,HOME_TEAM
2004,Newcastle vs Charlton,1.78,3.35,4.43,Newcastle,Charlton,1,1,DRAW
2004,Norwich vs West Brom,2.25,3.17,3.06,Norwich,West Brom,3,2,HOME_TEAM
2004,Tottenham vs Portsmouth,1.71,3.39,4.78,Tottenham,Portsmouth,3,1,HOME_TEAM
2004,Crystal Palace vs Bolton,2.56,3.19,2.58,Crystal Palace,Bolton,0,1,AWAY_TEAM
2004,Blackburn vs Chelsea,6.67,3.81,1.48,Blackburn,Chelsea,0,1,AWAY_TEAM
2004,Everton vs Norwich,1.55,3.59,6.26,Everton,Norwich,1,0,HOME_TEAM
2004,Birmingham vs Southampton,1.89,3.24,3.96,Birmingham,Southampton,2,1,HOME_TEAM
2004,Fulham vs Aston Villa,2.29,3.16,2.96,Fulham,Aston Villa,1,1,DRAW
2004,Manchester City vs Newcastle,2.35,3.17,2.88,Manchester City,Newcastle,1,1,DRAW
2004,Arsenal vs Manchester Utd,2.29,3.14,3.06,Arsenal,Manchester Utd,2,4,AWAY_TEAM
2004,Bolton vs Tottenham,2.2,3.21,3.09,Bolton,Tottenham,3,1,HOME_TEAM
2004,Charlton vs Liverpool,2.81,3.2,2.36,Charlton,Liverpool,1,2,AWAY_TEAM
2004,Portsmouth vs Middlesbrough,2.54,3.2,2.62,Portsmouth,Middlesbrough,2,1,HOME_TEAM
2004,West Brom vs Crystal Palace,2.23,3.22,3.04,West Brom,Crystal Palace,2,2,DRAW
2004,Blackburn vs Bolton,2.25,3.14,3.06,Blackburn,Bolton,0,1,AWAY_TEAM
2004,Arsenal vs Newcastle,1.45,3.89,6.98,Arsenal,Newcastle,1,0,HOME_TEAM
2004,West Brom vs Manchester City,3.04,3.21,2.22,West Brom,Manchester City,2,0,HOME_TEAM
2004,Birmingham vs Fulham,1.91,3.2,3.95,Birmingham,Fulham,1,2,AWAY_TEAM
2004,Chelsea vs Portsmouth,1.2,5.71,9.82,Chelsea,Portsmouth,3,0,HOME_TEAM
2004,Crystal Palace vs Tottenham,3.04,3.25,2.21,Crystal Palace,Tottenham,3,0,HOME_TEAM
2004,Everton vs Charlton,1.91,3.27,3.91,Everton,Charlton,0,1,AWAY_TEAM
2004,Manchester Utd vs Aston Villa,1.33,4.48,8.81,Manchester Utd,Aston Villa,3,1,HOME_TEAM
2004,Norwich vs Middlesbrough,3.0,3.2,2.25,Norwich,Middlesbrough,4,4,DRAW
2004,Southampton vs Liverpool,4.43,3.29,1.79,Southampton,Liverpool,2,0,HOME_TEAM
2004,Fulham vs West Brom,1.76,3.23,4.8,Fulham,West Brom,1,0,HOME_TEAM
2004,Middlesbrough vs Everton,1.99,3.21,3.63,Middlesbrough,Everton,1,1,DRAW
2004,Bolton vs Arsenal,5.54,3.45,1.61,Bolton,Arsenal,1,0,HOME_TEAM
2004,Aston Villa vs Norwich,1.66,3.39,5.3,Aston Villa,Norwich,3,0,HOME_TEAM
2004,Charlton vs Birmingham,2.14,3.13,3.31,Charlton,Birmingham,3,1,HOME_TEAM
2004,Manchester City vs Crystal Palace,1.63,3.43,5.33,Manchester City,Crystal Palace,3,1,HOME_TEAM
2004,Newcastle vs Southampton,1.53,3.59,6.23,Newcastle,Southampton,2,1,HOME_TEAM
2004,Portsmouth vs Blackburn,2.1,3.16,3.37,Portsmouth,Blackburn,0,1,AWAY_TEAM
2004,Tottenham vs Chelsea,4.09,3.29,1.85,Tottenham,Chelsea,0,2,AWAY_TEAM
2004,Liverpool vs Manchester Utd,2.67,3.1,2.73,Liverpool,Manchester Utd,0,1,AWAY_TEAM
2004,Southampton vs Fulham,2.31,3.18,2.89,Southampton,Fulham,3,3,DRAW
2004,Everton vs Portsmouth,1.78,3.25,4.57,Everton,Portsmouth,2,1,HOME_TEAM
2004,Manchester Utd vs Tottenham,1.4,4.05,7.5,Manchester Utd,Tottenham,0,0,DRAW
2004,Arsenal vs Manchester City,1.27,4.67,9.83,Arsenal,Manchester City,1,1,DRAW
2004,Birmingham vs Bolton,1.87,3.25,4.07,Birmingham,Bolton,1,2,AWAY_TEAM
2004,Chelsea vs Middlesbrough,1.34,4.26,9.17,Chelsea,Middlesbrough,2,0,HOME_TEAM
2004,West Brom vs Newcastle,3.98,3.27,1.85,West Brom,Newcastle,0,0,DRAW
2004,Blackburn vs Charlton,2.23,3.21,3.04,Blackburn,Charlton,1,0,HOME_TEAM
2004,Crystal Palace vs Aston Villa,2.73,3.13,2.43,Crystal Palace,Aston Villa,2,0,HOME_TEAM
2004,Norwich vs Liverpool,5.5,3.42,1.63,Norwich,Liverpool,1,2,AWAY_TEAM
2004,Middlesbrough vs Manchester Utd,3.52,3.22,2.0,Middlesbrough,Manchester Utd,0,2,AWAY_TEAM
2004,Aston Villa vs Blackburn,1.9,3.22,3.99,Aston Villa,Blackburn,1,0,HOME_TEAM
2004,Bolton vs West Brom,1.57,3.46,5.88,Bolton,West Brom,1,1,DRAW
2004,Charlton vs Arsenal,5.63,3.47,1.6,Charlton,Arsenal,1,3,AWAY_TEAM
2004,Manchester City vs Southampton,1.7,3.38,4.9,Manchester City,Southampton,2,1,HOME_TEAM
2004,Newcastle vs Birmingham,1.87,3.23,4.05,Newcastle,Birmingham,2,1,HOME_TEAM
2004,Portsmouth vs Norwich,1.59,3.45,5.68,Portsmouth,Norwich,1,1,DRAW
2004,Tottenham vs Everton,2.18,3.15,3.18,Tottenham,Everton,5,2,HOME_TEAM
2004,Fulham vs Crystal Palace,1.96,3.23,3.7,Fulham,Crystal Palace,3,1,HOME_TEAM
2004,Liverpool vs Chelsea,3.0,3.17,2.25,Liverpool,Chelsea,0,1,AWAY_TEAM
2004,Newcastle vs Arsenal,4.74,3.42,1.71,Newcastle,Arsenal,0,1,AWAY_TEAM
2004,Aston Villa vs Manchester Utd,4.54,3.43,1.73,Aston Villa,Manchester Utd,0,1,AWAY_TEAM
2004,Liverpool vs Southampton,1.31,4.3,9.86,Liverpool,Southampton,1,0,HOME_TEAM
2004,Bolton vs Blackburn,1.98,3.2,3.65,Bolton,Blackburn,0,1,AWAY_TEAM
2004,Charlton vs Everton,2.41,3.17,2.77,Charlton,Everton,2,0,HOME_TEAM
2004,Fulham vs Birmingham,2.36,3.21,2.79,Fulham,Birmingham,2,3,AWAY_TEAM
2004,Manchester City vs West Brom,1.44,3.85,7.35,Manchester City,West Brom,1,1,DRAW
2004,Middlesbrough vs Norwich,1.43,3.87,7.39,Middlesbrough,Norwich,2,0,HOME_TEAM
2004,Portsmouth vs Chelsea,6.27,3.58,1.53,Portsmouth,Chelsea,0,2,AWAY_TEAM
2004,Tottenham vs Crystal Palace,1.49,3.69,6.58,Tottenham,Crystal Palace,1,1,DRAW
2004,West Brom vs Liverpool,5.72,3.5,1.59,West Brom,Liverpool,0,5,AWAY_TEAM
2004,Birmingham vs Middlesbrough,2.42,3.17,2.77,Birmingham,Middlesbrough,2,0,HOME_TEAM
2004,Blackburn vs Newcastle,2.52,3.23,2.58,Blackburn,Newcastle,2,2,DRAW
2004,Everton vs Manchester City,1.95,3.22,3.77,Everton,Manchester City,2,1,HOME_TEAM
2004,Manchester Utd vs Bolton,1.3,4.59,9.41,Manchester Utd,Bolton,2,0,HOME_TEAM
2004,Norwich vs Tottenham,3.0,3.18,2.25,Norwich,Tottenham,0,2,AWAY_TEAM
2004,Crystal Palace vs Portsmouth,2.42,3.17,2.75,Crystal Palace,Portsmouth,0,1,AWAY_TEAM
2004,Arsenal vs Fulham,1.24,4.88,9.99,Arsenal,Fulham,2,0,HOME_TEAM
2004,Chelsea vs Aston Villa,1.26,4.55,9.99,Chelsea,Aston Villa,1,0,HOME_TEAM
2004,Southampton vs Charlton,2.27,3.17,3.0,Southampton,Charlton,0,0,DRAW
2004,Charlton vs Fulham,2.02,3.25,3.43,Charlton,Fulham,2,1,HOME_TEAM
2004,Portsmouth vs Arsenal,6.88,3.9,1.42,Portsmouth,Arsenal,0,1,AWAY_TEAM
2004,Liverpool vs Newcastle,1.82,3.29,4.08,Liverpool,Newcastle,3,1,HOME_TEAM
2004,Manchester Utd vs Crystal Palace,1.19,5.59,9.99,Manchester Utd,Crystal Palace,5,2,HOME_TEAM
2004,Blackburn vs Everton,2.68,3.21,2.42,Blackburn,Everton,0,0,DRAW
2004,Bolton vs Manchester City,2.14,3.18,3.18,Bolton,Manchester City,0,1,AWAY_TEAM
2004,Chelsea vs Norwich,1.16,5.98,9.99,Chelsea,Norwich,4,0,HOME_TEAM
2004,Middlesbrough vs Aston Villa,1.98,3.23,3.58,Middlesbrough,Aston Villa,3,0,HOME_TEAM
2004,Tottenham vs Southampton,1.83,3.25,4.13,Tottenham,Southampton,5,1,HOME_TEAM
2004,Birmingham vs West Brom,1.76,3.35,4.37,Birmingham,West Brom,4,0,HOME_TEAM
2004,Liverpool vs Portsmouth,1.37,4.03,8.09,Liverpool,Portsmouth,1,1,DRAW
2004,Fulham vs Manchester Utd,6.65,3.8,1.45,Fulham,Manchester Utd,1,1,DRAW
2004,Arsenal vs Chelsea,2.29,3.1,2.9,Arsenal,Chelsea,2,2,DRAW
2004,Aston Villa vs Birmingham,1.85,3.29,3.9,Aston Villa,Birmingham,1,2,AWAY_TEAM
2004,Crystal Palace vs Blackburn,2.2,3.2,3.0,Crystal Palace,Blackburn,0,0,DRAW
2004,Manchester City vs Tottenham,2.1,3.2,3.2,Manchester City,Tottenham,0,1,AWAY_TEAM
2004,Newcastle vs Portsmouth,1.6,3.4,5.4,Newcastle,Portsmouth,1,1,DRAW
2004,Norwich vs Bolton,2.45,3.0,2.7,Norwich,Bolton,3,2,HOME_TEAM
2004,Southampton vs Middlesbrough,2.6,3.2,2.45,Southampton,Middlesbrough,2,2,DRAW
2004,West Brom vs Charlton,2.45,3.2,2.6,West Brom,Charlton,0,1,AWAY_TEAM
2004,Everton vs Liverpool,2.5,3.04,2.7,Everton,Liverpool,1,0,HOME_TEAM
2004,Middlesbrough vs Manchester City,1.9,3.29,3.8,Middlesbrough,Manchester City,3,2,HOME_TEAM
2004,Crystal Palace vs Charlton,2.31,3.15,2.85,Crystal Palace,Charlton,0,1,AWAY_TEAM
2004,Blackburn vs Tottenham,2.29,3.15,2.9,Blackburn,Tottenham,0,1,AWAY_TEAM
2004,Arsenal vs Birmingham,1.33,4.23,9.25,Arsenal,Birmingham,3,0,HOME_TEAM
2004,Aston Villa vs Liverpool,2.31,3.19,2.84,Aston Villa,Liverpool,1,1,DRAW
2004,Everton vs Bolton,2.14,3.16,3.27,Everton,Bolton,3,2,HOME_TEAM
2004,Manchester Utd vs Southampton,1.19,5.59,9.99,Manchester Utd,Southampton,3,0,HOME_TEAM
2004,Norwich vs Fulham,2.29,3.19,2.88,Norwich,Fulham,0,1,AWAY_TEAM
2004,Portsmouth vs West Brom,1.87,3.29,3.92,Portsmouth,West Brom,3,2,HOME_TEAM
2004,Chelsea vs Newcastle,1.42,3.9,6.9,Chelsea,Newcastle,4,0,HOME_TEAM
2004,Liverpool vs Arsenal,3.35,3.23,2.04,Liverpool,Arsenal,2,1,HOME_TEAM
2004,Tottenham vs Middlesbrough,2.36,3.27,2.7,Tottenham,Middlesbrough,2,0,HOME_TEAM
2004,Newcastle vs Everton,1.84,3.29,3.95,Newcastle,Everton,1,1,DRAW
2004,Manchester City vs Aston Villa,2.27,3.23,2.9,Manchester City,Aston Villa,2,0,HOME_TEAM
2004,Birmingham vs Norwich,1.71,3.29,4.9,Birmingham,Norwich,1,1,DRAW
2004,Bolton vs Portsmouth,1.55,3.45,5.95,Bolton,Portsmouth,0,1,AWAY_TEAM
2004,Charlton vs Chelsea,6.28,3.63,1.5,Charlton,Chelsea,0,4,AWAY_TEAM
2004,Southampton vs Crystal Palace,1.98,3.25,3.54,Southampton,Crystal Palace,2,2,DRAW
2004,West Brom vs Manchester Utd,7.25,3.95,1.4,West Brom,Manchester Utd,0,3,AWAY_TEAM
2004,Fulham vs Blackburn,1.93,3.27,3.7,Fulham,Blackburn,0,2,AWAY_TEAM
2004,Aston Villa vs Tottenham,1.97,3.23,3.62,Aston Villa,Tottenham,1,0,HOME_TEAM
2004,Blackburn vs Birmingham,2.29,3.2,2.88,Blackburn,Birmingham,3,3,DRAW
2004,Portsmouth vs Manchester City,2.24,3.23,2.95,Portsmouth,Manchester City,1,3,AWAY_TEAM
2004,Chelsea vs Bolton,1.36,4.08,8.43,Chelsea,Bolton,2,2,DRAW
2004,Arsenal vs West Brom,1.15,6.4,9.99,Arsenal,West Brom,1,1,DRAW
2004,Crystal Palace vs Newcastle,2.88,3.18,2.29,Crystal Palace,Newcastle,0,2,AWAY_TEAM
2004,Everton vs Fulham,1.79,3.33,4.28,Everton,Fulham,1,0,HOME_TEAM
2004,Middlesbrough vs Liverpool,2.37,3.17,2.85,Middlesbrough,Liverpool,2,0,HOME_TEAM
2004,Norwich vs Southampton,2.29,3.12,2.98,Norwich,Southampton,2,1,HOME_TEAM
2004,Manchester Utd vs Charlton,1.31,4.57,8.83,Manchester Utd,Charlton,2,0,HOME_TEAM
2004,Newcastle vs Manchester Utd,3.2,3.22,2.17,Newcastle,Manchester Utd,1,3,AWAY_TEAM
2004,West Brom vs Middlesbrough,3.0,3.17,2.24,West Brom,Middlesbrough,1,2,AWAY_TEAM
2004,Birmingham vs Everton,2.25,3.16,2.99,Birmingham,Everton,0,1,AWAY_TEAM
2004,Bolton vs Aston Villa,2.12,3.22,3.2,Bolton,Aston Villa,1,2,AWAY_TEAM
2004,Charlton vs Norwich,1.86,3.27,3.98,Charlton,Norwich,4,0,HOME_TEAM
2004,Fulham vs Chelsea,5.76,3.36,1.6,Fulham,Chelsea,1,4,AWAY_TEAM
2004,Liverpool vs Crystal Palace,1.4,3.88,7.85,Liverpool,Crystal Palace,3,2,HOME_TEAM
2004,Manchester City vs Blackburn,1.84,3.37,4.0,Manchester City,Blackburn,1,1,DRAW
2004,Southampton vs Portsmouth,2.38,3.17,2.77,Southampton,Portsmouth,2,1,HOME_TEAM
2004,Tottenham vs Arsenal,4.97,3.31,1.7,Tottenham,Arsenal,4,5,AWAY_TEAM
2004,Manchester Utd vs Manchester City,1.4,3.85,7.95,Manchester Utd,Manchester City,0,0,DRAW
2004,Newcastle vs Fulham,1.52,3.52,6.33,Newcastle,Fulham,1,4,AWAY_TEAM
2004,Middlesbrough vs Bolton,1.95,3.22,3.62,Middlesbrough,Bolton,1,1,DRAW
2004,Crystal Palace vs Arsenal,7.33,4.05,1.39,Crystal Palace,Arsenal,1,1,DRAW
2004,Chelsea vs Everton,1.39,3.97,7.71,Chelsea,Everton,1,0,HOME_TEAM
